Frequency (Hz)	Level (dB)
10077.539063	-124.333794
10120.605469	-124.196365
10163.671875	-124.574699
10206.738281	-124.701057
10249.804688	-125.286499
10292.871094	-125.283096
10335.937500	-125.507729
10379.003906	-124.353081
10422.070313	-124.665512
10465.136719	-125.957100
10508.203125	-125.389709
10551.269531	-123.280869
10594.335938	-123.805168
10637.402344	-123.970573
10680.468750	-124.666962
10723.535156	-124.227180
10766.601563	-124.322594
10809.667969	-124.875565
10852.734375	-124.109200
10895.800781	-123.763992
10938.867188	-125.525528
10981.933594	-125.509315
11025.000000	-125.322243
11068.066406	-124.765884
11111.132813	-124.225365
11154.199219	-123.663879
11197.265625	-123.511978
11240.332031	-124.501900
11283.398438	-125.207031
11326.464844	-126.146355
11369.531250	-125.647377
11412.597656	-125.460480
11455.664063	-125.745636
11498.730469	-124.871338
11541.796875	-124.782738
11584.863281	-124.252602
11627.929688	-123.600372
11670.996094	-123.665436
11714.062500	-124.236031
11757.128906	-124.760147
11800.195313	-124.552940
11843.261719	-124.537720
11886.328125	-123.838623
11929.394531	-124.850266
11972.460938	-125.229881
12015.527344	-124.848541
12058.593750	-124.538467
12101.660156	-124.663345
12144.726563	-124.764931
12187.792969	-124.204063
12230.859375	-124.618645
12273.925781	-126.114349
12316.992188	-125.494186
12360.058594	-124.806618
12403.125000	-124.099686
12446.191406	-124.551743
12489.257813	-125.226189
12532.324219	-125.531456
12575.390625	-124.252396
12618.457031	-124.119232
12661.523438	-125.225006
12704.589844	-125.417305
12747.656250	-124.657181
12790.722656	-125.018326
12833.789063	-125.932426
12876.855469	-125.728691
12919.921875	-125.030220
12962.988281	-124.720856
13006.054688	-125.179550
13049.121094	-125.704491
13092.187500	-125.038185
13135.253906	-124.579506
13178.320313	-124.288551
13221.386719	-123.552132
13264.453125	-123.442154
13307.519531	-124.068077
13350.585938	-124.814804
13393.652344	-125.009956
13436.718750	-125.884613
13479.785156	-125.037674
13522.851563	-123.310532
13565.917969	-123.317291
13608.984375	-124.365799
13652.050781	-125.543900
13695.117188	-124.392967
13738.183594	-123.736794
13781.250000	-124.571991
13824.316406	-124.424881
13867.382813	-124.207222
13910.449219	-124.178711
13953.515625	-124.113907
13996.582031	-124.074104
14039.648438	-123.976578
14082.714844	-124.864365
14125.781250	-125.592697
14168.847656	-124.818611
14211.914063	-124.080322
14254.980469	-124.988251
14298.046875	-124.887810
14341.113281	-125.199181
14384.179688	-124.925484
14427.246094	-123.859230
14470.312500	-123.660439
14513.378906	-124.623604
14556.445313	-123.961418
14599.511719	-124.233871
14642.578125	-124.855629
14685.644531	-123.723053
14728.710938	-124.010353
14771.777344	-124.699150
14814.843750	-125.176765
14857.910156	-125.911728
14900.976563	-125.128807
14944.042969	-124.666656
14987.109375	-125.297066
15030.175781	-125.654297
15073.242188	-125.471420
15116.308594	-124.696175
15159.375000	-124.851425
15202.441406	-124.763062
15245.507813	-124.855362
15288.574219	-124.860023
15331.640625	-124.412666
15374.707031	-124.805878
15417.773438	-126.709030
15460.839844	-125.963081
15503.906250	-124.597305
15546.972656	-125.123558
15590.039063	-125.030174
15633.105469	-124.102104
15676.171875	-124.969551
15719.238281	-125.840225
15762.304688	-125.091980
15805.371094	-124.870399
15848.437500	-123.390648
15891.503906	-123.262856
15934.570313	-122.486847
15977.636719	-122.956764
16020.703125	-124.437828
16063.769531	-125.547569
16106.835938	-125.502274
16149.902344	-124.730415
16192.968750	-123.930420
16236.035156	-123.081779
16279.101563	-123.015968
16322.167969	-123.695091
16365.234375	-124.423019
16408.300781	-123.726494
16451.367188	-123.593842
16494.433594	-124.733940
16537.500000	-124.497314
16580.566406	-124.175125
16623.632813	-124.940475
16666.699219	-125.671333
16709.765625	-125.111458
16752.832031	-124.030960
16795.898438	-123.061897
16838.964844	-123.440819
16882.031250	-125.754807
16925.097656	-125.369095
16968.164063	-123.733597
17011.230469	-123.716095
17054.296875	-125.338638
17097.363281	-125.245949
17140.429688	-125.728310
17183.496094	-125.115456
17226.562500	-123.063011
17269.628906	-122.872597
17312.695313	-123.965050
17355.761719	-123.234245
17398.828125	-123.859772
17441.894531	-124.438065
17484.960938	-124.396790
17528.027344	-124.181198
17571.093750	-124.659317
17614.160156	-124.713654
17657.226563	-125.845650
17700.292969	-126.003586
17743.359375	-126.070679
17786.425781	-125.572144
17829.492188	-125.570770
17872.558594	-125.237221
17915.625000	-124.271172
17958.691406	-124.335075
18001.757813	-125.344215
18044.824219	-125.871658
18087.890625	-125.693939
18130.957031	-125.296234
18174.023438	-124.897614
18217.089844	-125.027451
18260.156250	-126.141296
18303.222656	-126.661285
18346.289063	-125.898521
18389.355469	-125.808868
18432.421875	-125.493965
18475.488281	-124.989189
18518.554688	-125.550201
18561.621094	-124.743729
18604.687500	-124.592865
18647.753906	-124.666252
18690.820313	-123.986740
18733.886719	-124.405762
18776.953125	-125.010475
18820.019531	-125.653679
18863.085938	-125.316444
18906.152344	-124.828850
18949.218750	-124.467751
18992.285156	-123.846352
19035.351563	-123.764580
19078.417969	-123.759377
19121.484375	-124.395828
19164.550781	-124.464180
19207.617188	-124.587349
19250.683594	-125.247574
19293.750000	-125.067703
19336.816406	-125.238892
19379.882813	-125.059708
19422.949219	-123.869789
19466.015625	-123.576347
19509.082031	-124.166275
19552.148438	-124.198647
19595.214844	-125.740463
